"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao1";"Chuva (mm)"
"01/01/2024";"00:00";"24,7";"24,7";"24,2";"89,0";"90,0";"89,0";"22,8";"22,8";"22,4";"960,9";"960,9";"960,3";"0,0";"197,0";"0,2";"";"0,0"
"01/01/2024";"01:00";"24,8";"24,9";"24,7";"87,0";"90,0";"87,0";"22,6";"23,1";"22,5";"961,2";"961,2";"960,9";"0,0";"287,0";"0,6";"";"0,0"
"01/01/2024";"02:00";"25,1";"25,1";"24,8";"84,0";"88,0";"84,0";"22,1";"22,6";"22,1";"961,2";"961,3";"961,2";"0,3";"233,0";"1,3";"";"0,0"
"01/01/2024";"03:00";"24,7";"25,1";"24,7";"85,0";"86,0";"84,0";"22,1";"22,4";"22,0";"960,8";"961,2";"960,8";"0,0";"227,0";"1,8";"";"0,0"
"01/01/2024";"04:00";"24,5";"24,7";"24,5";"88,0";"88,0";"85,0";"22,4";"22,4";"22,0";"960,4";"960,8";"960,4";"0,0";"141,0";"1,3";"";"0,0"
"01/01/2024";"05:00";"24,6";"24,6";"24,4";"88,0";"90,0";"88,0";"22,5";"22,6";"22,4";"959,8";"960,4";"959,8";"0,1";"193,0";"1,0";"";"0,0"
"01/01/2024";"06:00";"24,5";"24,6";"24,3";"90,0";"90,0";"88,0";"22,7";"22,7";"22,5";"959,7";"959,9";"959,7";"0,7";"88,0";"1,3";"";"0,0"
"01/01/2024";"07:00";"23,8";"24,5";"23,8";"90,0";"90,0";"90,0";"22,0";"22,7";"22,0";"959,7";"959,7";"959,5";"1,3";"39,0";"2,4";"";"0,0"
"01/01/2024";"08:00";"23,6";"23,8";"23,5";"90,0";"90,0";"89,0";"21,9";"22,0";"21,7";"960,6";"960,6";"959,7";"0,4";"67,0";"3,2";"";"0,0"
"01/01/2024";"09:00";"23,9";"24,0";"23,6";"91,0";"91,0";"90,0";"22,3";"22,3";"21,9";"961,0";"961,0";"960,6";"1,2";"86,0";"1,8";"45,20";"0,0"
